x,MB
260.014,10.9578
280.096,5.9207
299.818,10.914
320.985,15.1083
340.002,17.9319
360.199,23.9856
380.102,39.9319
399.404,53.416
420.394,67.0428
441.021,74.2283
461.193,81.2395
480.542,88.0563
500.275,92.932
520.195,94.9601
540.889,95.988
560.115,96.9789
580.005,95.9697
601.047,95.9487
620.492,94.9562
639.936,93.9835
660.869,92.9233
680.486,91.9253
700.077,89.9911
720.37,87.942
740.065,83.9813
760.57,81.921
779.628,78.1267
799.989,73.0406
821.835,66.5241
840.297,61.9806
859.285,55.312
880.124,48.012
900.188,40.933
921.254,32.5756
940.829,25.7588
961.635,20.6164
981.689,15.6507
998.027,11.4923
1020.285,6.9439
1040.178,3.9538
